2026-04-07T05:14:07.398Z DEBUG 1 --- [demo] [nio-8000-exec-7] o.s.web.servlet.DispatcherServlet        : OPTIONS "/api/v1/jurisdiction-areas/", parameters={}
2026-04-07T05:14:07.398Z DEBUG 1 --- [demo] [nio-8000-exec-7] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped to com.hexa.mole.office_module.adapter.inbound.rest.JurisdictionAreaController#getAllJurisdictionAreas()
2026-04-07T05:14:07.398Z DEBUG 1 --- [demo] [nio-8000-exec-7] o.s.web.servlet.DispatcherServlet        : Completed 200 OK
2026-04-07T05:14:07.403Z DEBUG 1 --- [demo] [nio-8000-exec-6] o.s.web.servlet.DispatcherServlet        : GET "/api/v1/jurisdiction-areas/", parameters={}
2026-04-07T05:14:07.403Z DEBUG 1 --- [demo] [nio-8000-exec-6] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped to com.hexa.mole.office_module.adapter.inbound.rest.JurisdictionAreaController#getAllJurisdictionAreas()
2026-04-07T05:14:07.403Z  INFO 1 --- [demo] [nio-8000-exec-6] c.h.m.o.a.i.r.JurisdictionAreaController : Fetching all jurisdiction areas
2026-04-07T05:14:07.403Z  INFO 1 --- [demo] [nio-8000-exec-6] c.h.m.o.d.s.JurisdictionAreaServiceImpl  : Fetching all JurisdictionAreas
2026-04-07T05:14:07.460Z  INFO 1 --- [demo] [nio-8000-exec-6] c.h.m.o.d.s.JurisdictionAreaServiceImpl  : Total JurisdictionAreas found: 2604
2026-04-07T05:14:07.461Z  INFO 1 --- [demo] [nio-8000-exec-6] c.h.m.o.d.s.JurisdictionAreaServiceImpl  : Mapping JurisdictionArea with UUID: 6997159e-ebb7-4f62-b8d9-d1aad786270e
2026-04-07T05:14:07.461Z  INFO 1 --- [demo] [nio-8000-exec-6] c.h.m.o.d.s.JurisdictionAreaServiceImpl  : Mapping JurisdictionArea with UUID: c2838aeb-2962-49c3-9c64-aff4c31412ce
2026-04-07T05:14:07.461Z  INFO 1 --- [demo] [nio-8000-exec-6] c.h.m.o.d.s.JurisdictionAreaServiceImpl  : Mapping JurisdictionArea with UUID: 7dca9c45-d8f6-4eec-af67-8d9887ba2401
2026-04-07T05:14:07.461Z  INFO 1 --- [demo] [nio-8000-exec-6] c.h.m.o.d.s.JurisdictionAreaServiceImpl  : Mapping JurisdictionArea with UUID: e74f0564-c916-462c-abc4-2fe6caa44321
2026-04-07T05:14:07.461Z  INFO 1 --- [demo] [nio-8000-exec-6] c.h.m.o.d.s.JurisdictionAreaServiceImpl  : Mapping JurisdictionArea with UUID: 41ca4ec2-7b24-4914-8faf-acff04095d68
2026-04-07T05:14:07.461Z  INFO 1 --- [demo] [nio-8000-exec-6] c.h.m.o.d.s.JurisdictionAreaServiceImpl  : Mapping JurisdictionArea with UUID: abb08601-e115-4369-8dca-0b9ab87d10e3
2026-04-07T05:14:07.461Z  INFO 1 --- [demo] [nio-8000-exec-6] c.h.m.o.d.s.JurisdictionAreaServiceImpl  : Mapping JurisdictionArea with UUID: 71e03bf5-f1d1-4d04-875b-3dcbb3adfbf7
2026-04-07T05:14:07.461Z  INFO 1 --- [demo] [nio-8000-exec-6] c.h.m.o.d.s.JurisdictionAreaServiceImpl  : Mapping JurisdictionArea with UUID: 9fa0aae1-9a84-4941-a5a1-d882160d4845
